sequence,phase,stageId,processName,activeState,supplier,inputArtifacts,inputRequiredFields,inputMetrics,codeSurfaces,processContract,outputArtifacts,outputRequiredFields,outputMetrics,forwardKick,backwardKick,dirtyDataRules,retryBudget,failureCodes,consumers,uiExposed,certificationStatus,fitGapStatus,notes
10,Ledger Assembly,RS01_LEDGER_ASSEMBLY,Revision Opportunity Ledger Assembly,active,"Phase 5 certified evaluation_result_v2 plus story ledger, WAVE plan, and diagnostic findings",evaluation_result_v2; author_exposure_certification_v1; accepted_story_ledger_v1; wave_revision_plan_v1; quality_gate_diagnostics_v1,criteria; confirmed_mode; enrichment; overview,evaluation_result_v2 present; no blocking audit verdicts; criteria count >= 1,lib/revision/opportunityLedger.ts; lib/revision/revisionOpportunityLedgerArtifact.ts; lib/revision/normalizeFindings.ts,Build evidence-backed revision opportunities from certified evaluation artifacts without re-running evaluation. Every opportunity must trace to an evaluation finding or story ledger entry.,revision_opportunity_ledger_v1,opportunity_id; finding_id; criterion; severity; evidence_anchor; revision_operation; readiness,total_opportunities >= 1; no opportunity without evidence_anchor or manuscript_wide_support; all criteria traceable,RS02_QUEUE_ADMISSION,S10b_PHASE5_AUTHOR_EXPOSURE_GATE if evaluation_result_v2 absent or uncertified,missing evidence_anchor without manuscript_wide_support; opportunity with no criterion; duplicate opportunity_id,1,LEDGER_ASSEMBLY_FAILED; LEDGER_EVIDENCE_MISSING; LEDGER_EMPTY; LEDGER_CRITERION_MISSING,RS02_QUEUE_ADMISSION,false,partial,gap,"opportunityLedger.ts is active; revisionOpportunityLedgerArtifact.ts writes the artifact. Hard caps: short-form max 50, long-form max 100 opportunities."
20,Queue Admission,RS02_QUEUE_ADMISSION,Queue Admission Gate,active,revision_opportunity_ledger_v1 opportunities,revision_opportunity_ledger_v1; revision_mode_contract_v1,opportunity_id; severity; revision_operation; evidence_anchor; issueStatement; symptom; cause; fixDirection; readerEffect,all six diagnostic fields populated; revision_operation set; readiness classified,lib/revision/reviseAdmissionGate.ts; lib/revision/reviseCardContract.ts; lib/revision/candidateQuality.ts; lib/revision/canonGate.ts; lib/revision/voiceGate.ts,Validate each opportunity against the Revise Card Contract. Items passing all gates become ready_for_revise; items failing any gate become needs_targeting. No item is deleted — withheld items persist for author targeting.,revise_queue_v1; revise_admission_result_v1,opportunity_id; admission_status; readiness; reasons,ready_for_revise count; needs_targeting count; ready_rate; candidate_option_coverage; anchor_coverage,RS03_QUEUE_PRIORITIZATION,RS01_LEDGER_ASSEMBLY if ledger_backing_coverage < 100%,missing six-part diagnostic; candidate_text empty when operation requires one; anchor missing without manuscript_wide_support; canon gate fail; voice gate fail,0,ADMISSION_CARD_CONTRACT_FAIL; ADMISSION_CANON_GATE_FAIL; ADMISSION_VOICE_GATE_FAIL; ADMISSION_CANDIDATE_QUALITY_FAIL,RS03_QUEUE_PRIORITIZATION,false,partial,emerging,"admission_status is exactly: admission_passed | withheld. Six-part diagnostic (symptom, cause, fixDirection, readerEffect, operationNote, evidence) required for admission."
30,Queue Management,RS03_QUEUE_PRIORITIZATION,Queue Prioritization and Assembly,active,Admitted revise_queue_v1 items,revise_queue_v1; revision_opportunity_ledger_v1,opportunity_id; severity; scope; criterion; readiness,severity distribution (must/should/could); scope distribution; criteria coverage,lib/revision/workbenchQueue.ts; app/revise/page.tsx; app/api/revise/reset-queue/route.ts,"Sort admitted opportunities by deterministic severity ranking (must → should → could), apply hard cap, and assemble author-facing revise queue. needs_targeting items appear in a separate advisory view.",revise_queue_v1,opportunity_id; display_index; severity; scope; criterion; readiness; source,queue_length <= hard_cap; must items ranked first; no gaps in display_index,RS04_WORKBENCH_LOAD,RS02_QUEUE_ADMISSION if queue empty after hard cap,queue_length > hard_cap after trim; gaps in display_index; duplicate opportunity_id in queue,0,QUEUE_ASSEMBLY_FAILED; QUEUE_OVERCAP; QUEUE_EMPTY_AFTER_ADMISSION,RS04_WORKBENCH_LOAD,true,emerging,emerging,WorkbenchSource order: evaluation > deep_revision > baseline_discovery > surface_polish. Reset queue API exists at app/api/revise/reset-queue/route.ts.
40,Workbench,RS04_WORKBENCH_LOAD,Workbench Evidence Load,active,"revise_queue_v1 item, revision_package_v1, and warmup corpus",revise_queue_v1; revision_opportunity_ledger_v1; revision_mode_contract_v1,opportunity_id; anchor; quoteHighlight; quoteRest; criterion; issueStatement; diagnostic,anchor text locatable in source manuscript; mode contract resolved; warmup corpus loaded,lib/revision/workbenchQueue.ts; lib/revision/revisionPackage.ts; lib/revision/reviseQueueWarmup.ts; lib/revision/baselineManuscriptDiscovery.ts; app/revise/page.tsx,"Load and hydrate one workbench opportunity: resolve anchor in source manuscript, hydrate diagnostic fields, load A/B/C candidates, resolve mode contract, and surface evidence for author review.",workbench_opportunity_v1,id; severity; scope; mode; criterion; anchor; quoteHighlight; options; diagnostic; revisionOperation; readiness,anchor resolved in source; all six diagnostic fields populated; options array has 1–3 valid candidates,"RS05_CANDIDATE_GENERATION if candidates absent, else RS06_AUTHOR_DECISION",RS02_QUEUE_ADMISSION if anchor cannot be resolved,anchor not found in source manuscript; diagnostic field empty or placeholder; options array empty; mode contract missing,1,WORKBENCH_ANCHOR_UNRESOLVABLE; WORKBENCH_DIAGNOSTIC_INCOMPLETE; WORKBENCH_MODE_CONTRACT_MISSING; WORKBENCH_HYDRATION_FAILED,RS05_CANDIDATE_GENERATION; RS06_AUTHOR_DECISION,true,emerging,emerging,WorkbenchMode is exactly: direct-rewrite | repair-brief. WorkbenchScope: Line | Passage | Scene | Chapter | Structural | Manuscript.
50,Workbench,RS05_CANDIDATE_GENERATION,A/B/C Candidate Generation,active,workbench_opportunity_v1 plus revision warmup corpus and mode contract,workbench_opportunity_v1; revision_mode_contract_v1,anchor; revisionOperation; diagnostic; mode; criterion,mode contract present; warmup corpus loaded; revision operation set,app/api/revise/generate-rewrite/route.ts; lib/revision/run-revision-pipeline.ts; lib/revision/revisionOrchestrator.ts; lib/revision/candidateHydration.ts; lib/revision/proposalSynthesis.ts; lib/revision/proposals.ts; lib/revision/runPass4VoiceRewrite.ts,"Generate exactly three revision candidates (Option A — Recommended Repair, Option B — Rhythm Variant, Option C — Bolder Rendering Shift) for a ready_for_revise opportunity using Pass 4 voice rewrite. No re-evaluation of criteria.",revision_candidate_set_v1,option_key; candidate_text; mechanism; rationale,exactly 3 candidates (A/B/C) unless mode restricts; no candidate duplicates original text; voice gate passes,"RS09_CROSSCHECK_VERIFICATION (async, feature-flagged), then RS06_AUTHOR_DECISION",RS04_WORKBENCH_LOAD if generation fails,candidate_text = original_text; empty candidate_text; voice gate violation; canon gate violation; missing mechanism or rationale,1,CANDIDATE_GENERATION_FAILED; CANDIDATE_VOICE_GATE_FAIL; CANDIDATE_CANON_GATE_FAIL; CANDIDATE_EMPTY; CANDIDATE_DUPLICATES_ORIGINAL,RS06_AUTHOR_DECISION; RS09_CROSSCHECK_VERIFICATION,true,partial,emerging,"Pass 4 voice rewrite uses the warmup corpus (benchmark + exemplar files). Option roles: A=recommended_repair, B=rhythm_variant, C=bolder_rendering_shift."
60,Author Decision,RS06_AUTHOR_DECISION,Author Decision Capture,active,Author action on workbench_opportunity_v1 with revision_candidate_set_v1,workbench_opportunity_v1; revision_candidate_set_v1,opportunity_id; decision; selected_option or custom_text,author action captured; decision is legal value,app/revise/page.tsx; lib/revision/ledger.ts,"Capture author decision locally before sync. Decision must be one of the canonical values. Undo is supported for the most recent decision. UI must not fabricate, pre-fill, or simulate author decisions.",author_decision_v1,local_id; opportunity_id; decision; selected_option; client_created_at,decision is canonical; local_id unique; undo chain intact if is_undo=true,RS07_LEDGER_SYNC,none (author may re-decide before sync),non-canonical decision value; missing opportunity_id; custom_text empty when decision=custom; undo without prior local_id,0,DECISION_INVALID_VALUE; DECISION_MISSING_OPPORTUNITY; DECISION_CUSTOM_EMPTY,RS07_LEDGER_SYNC,true,partial,emerging,RevisionLedgerDecision is exactly: accepted_a | accepted_b | accepted_c | custom | keep_original | reject | deferred. Non-canonical values are CI-failing defects.
70,Ledger Sync,RS07_LEDGER_SYNC,Revision Ledger Sync,active,author_decision_v1 entries from local client state,author_decision_v1,local_id; opportunity_id; opportunity_title; decision,all decisions validated before write; no duplicate local_id; is_undo references valid undone_local_id,lib/revision/ledger.ts; lib/revision/logRevisionEvent.ts; lib/revision/persistence/log-governance-event.ts,"Persist author decisions to revision_ledger_decisions table. Validation runs before every write. Illegal decision values must throw and must not write. Undo is an append-only log entry, not a mutation.",revision_ledger_decision_v1,id; local_id; opportunity_id; decision; client_synced_at; created_at,synced_decision_count increments by batch size; no row with non-canonical decision written; governance event logged,RS08_COMPLETION when all ready_for_revise items decided,RS06_AUTHOR_DECISION if sync fails (client retries),non-canonical decision written to DB; duplicate local_id; missing opportunity_id on write; undo without undone_local_id,3,LEDGER_SYNC_VALIDATION_FAIL; LEDGER_SYNC_DB_ERROR; LEDGER_SYNC_DUPLICATE_LOCAL_ID,RS08_COMPLETION; RS10_TRUSTEDPATH,false,partial,gap,Append-only ledger. Mutations are forbidden. Undo is a new row with is_undo=true. Quality drift metrics tracked via RevisionQualityDriftMetrics.
80,Completion,RS08_COMPLETION,Revision Completion Certification,planned_required,revision_ledger_decision_v1 plus revise_queue_v1 state,revision_ledger_decision_v1; revise_queue_v1; author_decision_v1,all ready_for_revise items have a persisted decision; no pending sync entries,author_decision_count >= ready_for_revise count; synced_decision_count = author_decision_count; no needs_targeting items upgraded without re-admission,planned: lib/revision/completionCertification.ts; lib/revision/engine.ts,Certify revision completion when all ready_for_revise items have persisted author decisions. Produce revision_completion_record_v1. Completion does not require all needs_targeting items to be decided.,revision_completion_record_v1,manuscript_id; evaluation_job_id; completion_type; decided_count; total_ready; certified_at,decided_count = total_ready; no uncommitted decisions; completion_type is canonical,RS10_TRUSTEDPATH (if eligible) or end state,RS07_LEDGER_SYNC if uncommitted decisions remain,completion certified with pending sync; completion_type non-canonical; decided_count < total_ready,0,COMPLETION_PREMATURE; COMPLETION_PENDING_SYNC; COMPLETION_CERT_INVALID,RS10_TRUSTEDPATH,true,missing_critical,critical,Planned required gate. No formal completion certification currently exists; the engine.ts has partial completion tracking. completion_type will be: full | partial | needs_targeting_deferred.
85,Cross-Check,RS09_CROSSCHECK_VERIFICATION,Repair Cross-Check Verification,active,revision_candidate_set_v1 (Option A only),revision_candidate_set_v1,finding_id; option_key=A; original_text; evidence_excerpt; diagnosis,REVISION_REPAIR_CROSSCHECK_ENABLED feature flag true; content hashes available for deduplication,lib/revision/repairCrossCheck.ts; lib/revision/trustedPath.ts,Independently verify Option A repair using Perplexity sonar-reasoning-pro. Idempotent and content-hash-keyed. Does not generate repairs. Only approve verdicts propagate to TrustedPath.,repair_cross_check_v1,verdict; rationale; concerns; confidence; promptVersion; model,verdict is one of: approve | flag | reject | unavailable | pending; content hash matches input; idempotent on re-run,RS10_TRUSTEDPATH if verdict=approve,RS06_AUTHOR_DECISION (flag/reject remain in manual review),non-canonical verdict value; cross-check modifies repair text (forbidden); content hash mismatch on cache hit,2,CROSSCHECK_TIMEOUT; CROSSCHECK_INVALID_VERDICT; CROSSCHECK_HASH_MISMATCH; CROSSCHECK_UNAVAILABLE,RS10_TRUSTEDPATH,false,partial,emerging,"Feature-flagged via REVISION_REPAIR_CROSSCHECK_ENABLED. Runs async and does not block workbench display. Perplexity model: sonar-reasoning-pro, prompt version: repair-cross-check-v1."
90,TrustedPath,RS10_TRUSTEDPATH,TrustedPath Auto-Apply,active,repair_cross_check_v1 with verdict=approve,repair_cross_check_v1; revision_opportunity_ledger_v1; revision_mode_contract_v1,finding_id; verdict=approve; option_key; evaluation_job_id; manuscript_id,isTrustedPathEligible passes; no prior ledger decision for finding_id; user authenticated,lib/revision/trustedPath.ts; lib/revision/repairCrossCheck.ts; lib/revision/ledger.ts; app/api/revise/trusted-path/route.ts,"Auto-accept all cross-check-approved Option A repairs into revision_ledger_decisions. Skip findings already decided, flagged, rejected, unavailable, or pending. Original manuscript is never mutated — ledger entries only.",trustedpath_result_v1; revision_ledger_decision_v1,ok; appliedCount; skippedCount; alreadyDecidedCount; appliedFindingIds; skippedReasons,appliedCount + skippedCount + alreadyDecidedCount = total eligible; no mutation to source manuscript; all applied decisions = accepted_a,RS08_COMPLETION,RS06_AUTHOR_DECISION for skipped items,applying non-approve verdict; mutating source manuscript text; applying to already-decided finding; unauthenticated call,1,TRUSTEDPATH_UNAUTHENTICATED; TRUSTEDPATH_INELIGIBLE_VERDICT; TRUSTEDPATH_ALREADY_DECIDED; TRUSTEDPATH_LEDGER_WRITE_FAIL,RS08_COMPLETION,true,partial,emerging,"TrustedPath auto-apply uses source=""trustedpath-auto-apply"" on every ledger entry. Feature designed for time-pressed authors with large queues of verified repairs."
